bench,llm,sigma,pred_r,pred_p,truth,middle_band,rule_ok,proc_ok,rule_neq_proc
hotpot,smollm17b,0.02984481292640875,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
hotpot,qwen3b,0.045866588469831396,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
hotpot,phi3mini,0.050979901568475955,RuleOPE,RuleOPE,RuleOPE,True,True,True,False
hotpot,phi35,0.046428043528455545,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
hotpot,zephyr7b,0.010337593289536127,RuleOPE,RuleOPE,MRDR,False,False,False,False
hotpot,mistral,0.013936865817877552,RuleOPE,RuleOPE,MRDR,False,False,False,False
hotpot,qwen,0.05237956932949041,RuleOPE,RuleOPE,RuleOPE,True,True,True,False
hotpot,qwencoder7b,0.013812365971488138,RuleOPE,RuleOPE,MRDR,False,False,False,False
hotpot,internlm7b,0.05026032750455402,RuleOPE,RuleOPE,RuleOPE,True,True,True,False
hotpot,olmo7b,0.005302698141934564,RuleOPE,RuleOPE,MRDR,False,False,False,False
hotpot,granite8b,0.051638439394249606,RuleOPE,RuleOPE,RuleOPE,True,True,True,False
hotpot,yi15,0.05077145739016361,RuleOPE,RuleOPE,RuleOPE,True,True,True,False
trivia,smollm17b,0.02879006641545543,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
trivia,qwen3b,0.034172453585806194,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
trivia,phi3mini,0.03437275338025252,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
trivia,phi35,0.0342481526471479,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
trivia,zephyr7b,0.00942383769563437,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
trivia,mistral,0.01724781181894038,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
trivia,qwen,0.029580677057843566,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
trivia,qwencoder7b,0.020078720701621682,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
trivia,internlm7b,0.028062182081626776,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
trivia,olmo7b,0.009204900326617829,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
trivia,granite8b,0.030952029396645275,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
trivia,yi15,0.03451796384693457,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
nq,smollm17b,0.04464564935522749,RuleOPE,RuleOPE,MRDR,False,False,False,False
nq,qwen3b,0.08139200072555594,RuleOPE,RuleOPE,MRDR,True,False,False,False
nq,phi3mini,0.08681139283224733,RuleOPE,MRDR,MRDR,True,False,True,True
nq,phi35,0.08724672699182073,RuleOPE,MRDR,MRDR,True,False,True,True
nq,zephyr7b,0.011164685966463988,RuleOPE,RuleOPE,MRDR,False,False,False,False
nq,mistral,0.06661851567052826,RuleOPE,RuleOPE,MRDR,True,False,False,False
nq,qwen,0.08989169405421893,RuleOPE,MRDR,MRDR,True,False,True,True
nq,qwencoder7b,0.023819505146365817,RuleOPE,RuleOPE,MRDR,False,False,False,False
nq,internlm7b,0.08848754885806098,RuleOPE,MRDR,MRDR,True,False,True,True
nq,olmo7b,0.00785661040810027,RuleOPE,RuleOPE,MRDR,False,False,False,False
nq,granite8b,0.08237544817955694,RuleOPE,MRDR,MRDR,True,False,True,True
nq,yi15,0.09413694780706307,RuleOPE,MRDR,MRDR,True,False,True,True
musique,smollm17b,0.01300907770025765,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
musique,qwen3b,0.010778822273059699,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
musique,phi3mini,0.014146561886947956,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
musique,phi35,0.017127189812314328,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
musique,zephyr7b,0.0029230469475112716,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
musique,mistral,0.0014796862724618858,RuleOPE,RuleOPE,MRDR,False,False,False,False
musique,qwen,0.015600030800453342,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
musique,qwencoder7b,0.0006677786176198876,RuleOPE,RuleOPE,MRDR,False,False,False,False
musique,internlm7b,0.016545361724236964,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
musique,olmo7b,0.002839264820650597,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
musique,granite8b,0.009610965767765019,RuleOPE,RuleOPE,MRDR,False,False,False,False
musique,yi15,0.016539024557919228,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
hotpot,qwen14b,0.05483567927495618,RuleOPE,RuleOPE,RuleOPE,True,True,True,False
trivia,qwen14b,0.02840845284734047,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
nq,qwen14b,0.08564375821814413,RuleOPE,MRDR,MRDR,True,False,True,True
2wiki,smollm17b,0.03446911792471366,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
2wiki,qwen3b,0.033338831636374126,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
2wiki,phi3mini,0.03292150638224993,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
2wiki,phi35,0.028698760493582692,RuleOPE,RuleOPE,MRDR,False,False,False,False
2wiki,zephyr7b,0.003010459671162876,RuleOPE,RuleOPE,MRDR,False,False,False,False
2wiki,qwen,0.04066475452801339,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
2wiki,qwencoder7b,0.005293168724279835,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
2wiki,internlm7b,0.04393568771963592,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
2wiki,olmo7b,0.00382616435025211,RuleOPE,RuleOPE,MRDR,False,False,False,False
2wiki,granite8b,0.019880245404666395,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
2wiki,yi15,0.033926681394650944,RuleOPE,RuleOPE,MRDR,False,False,False,False
2wiki,qwen14b,0.05097266578690545,RuleOPE,RuleOPE,MRDR,True,False,False,False
2wiki,qwen32b,0.05407872859473574,RuleOPE,RuleOPE,MRDR,True,False,False,False
hotpot,qwen32b,0.05840737709139726,RuleOPE,RuleOPE,RuleOPE,True,True,True,False
trivia,qwen32b,0.028760761529171047,RuleOPE,RuleOPE,RuleOPE,False,True,True,False
nq,qwen32b,0.08227675977648824,RuleOPE,RuleOPE,MRDR,True,False,False,False
