llm,llm_name,benchmark,pct,n,noop_F1,unk_pct,mean_swing,bridge_rate
mistral,Mistral-7B,hotpot,32.01,1493,0.13897137309303267,1.607501674480911,0.13331882876356677,0.19156061620897522
mistral,Mistral-7B,trivia,147.16500607189263,1347,0.21854755124727696,0.5939123979213066,0.16171560912086078,0.19079435783221974
mistral,Mistral-7B,nq,77.55042045374321,1500,0.48086894612935943,0.0,0.41050666699956295,0.48333333333333334
qwen,Qwen2.5-7B,hotpot,239.49435558868592,1493,0.3703894873234143,44.13931681178835,0.2611052329708702,0.30475552578700604
qwen,Qwen2.5-7B,trivia,123.46,1347,0.4644358730296831,40.75723830734967,0.15138632928619955,0.1714922048997773
qwen,Qwen2.5-7B,nq,29.98929559672112,1500,0.5875325385885757,25.533333333333335,0.5151443887267416,0.5726666666666667
yi15,Yi-1.5-9B,hotpot,276.4856642589023,1493,0.42083799038751646,23.04085733422639,0.26211304957983833,0.31681178834561285
yi15,Yi-1.5-9B,trivia,249.37909413313886,1347,0.4311941617732264,32.66518188567186,0.1840254359185317,0.21900519673348182
yi15,Yi-1.5-9B,nq,31.010755256766398,1500,0.627828740630154,13.133333333333333,0.5533133535481003,0.63
phi35,Phi-3.5-mini,hotpot,348.7589482436394,1493,0.4532131218859133,2.0763563295378433,0.25720949347637523,0.3201607501674481
phi35,Phi-3.5-mini,trivia,128.43,1347,0.5674783421211098,2.1529324424647363,0.18314340789753414,0.22865627319970305
phi35,Phi-3.5-mini,nq,26.592850487960142,1500,0.679191748991749,2.466666666666667,0.5216091148415078,0.6066666666666667
qwen3b,Qwen2.5-3B,hotpot,170.15169541855516,1493,0.30728705288085845,45.813797722705964,0.23192552373500244,0.27193569993302075
qwen3b,Qwen2.5-3B,trivia,232.44577993940476,1347,0.41307867433557377,36.00593912397921,0.1728120614631702,0.19821826280623608
qwen3b,Qwen2.5-3B,nq,58.73898411031928,1500,0.5330143097643097,27.933333333333334,0.47145178340178334,0.5193333333333333
qwencoder7b,Qwen2.5-Coder-7B,hotpot,12.952029755354388,1493,0.0715363188571494,90.62290689886136,0.06681428268836173,0.07501674480910918
qwencoder7b,Qwen2.5-Coder-7B,trivia,127.08354819792879,1347,0.15551281186025062,82.92501855976244,0.10909572980842469,0.11581291759465479
qwencoder7b,Qwen2.5-Coder-7B,nq,49.825934215427736,1500,0.1366174603174603,85.0,0.1308,0.13933333333333334
internlm7b,InternLM2.5-7B,hotpot,357.82632625852335,1493,0.49461046345238735,13.529805760214334,0.2621065065700537,0.31279303415941057
internlm7b,InternLM2.5-7B,trivia,72.23559152339847,1347,0.585356365979974,20.71269487750557,0.14823614215113728,0.1714922048997773
internlm7b,InternLM2.5-7B,nq,21.153868591759828,1500,0.637256931353479,12.4,0.5208290896269989,0.5953333333333334
smollm17b,SmolLM2-1.7B,hotpot,143.972821843634,1493,0.23734555606019314,0.20093770931011387,0.16968781996028168,0.2156731413261889
smollm17b,SmolLM2-1.7B,trivia,266.32988641335737,1347,0.3711212291565146,0.07423904974016332,0.15679048054697645,0.19970304380103934
smollm17b,SmolLM2-1.7B,nq,110.28965549017613,1500,0.30746853997853996,0.2,0.2812812718081139,0.338
phi3mini,Phi-3-mini,hotpot,273.69882871268953,1493,0.3901638242311383,24.849296718017413,0.2659126375425088,0.3235097119892833
phi3mini,Phi-3-mini,trivia,233.5901844459403,1347,0.4708549596077436,29.02746844840386,0.17615255898106677,0.2026726057906459
phi3mini,Phi-3-mini,nq,28.414139689904495,1500,0.6088264965970848,18.466666666666665,0.5183892671598553,0.588
olmo7b,OLMo-7B,hotpot,7.979039170067925,1493,0.111545500547197,0.0,0.08241165982629767,0.056932350971198926
olmo7b,OLMo-7B,trivia,86.47911257337518,1347,0.18051288335701457,0.0,0.11992864257922733,0.12397921306607275
olmo7b,OLMo-7B,nq,12.58014626618682,1500,0.1562748848189256,0.0,0.12992671001296605,0.11266666666666666
granite8b,Granite-3.0-8B,hotpot,293.42666239963495,1493,0.39404350708659996,29.068988613529807,0.26449541554147366,0.3154722036168788
granite8b,Granite-3.0-8B,trivia,188.62272409830206,1347,0.5523329992562446,26.57757980697847,0.15810449516193031,0.18337045285820341
granite8b,Granite-3.0-8B,nq,32.11954430484389,1500,0.5706075999824481,20.066666666666666,0.496138806808805,0.5613333333333334
zephyr7b,Zephyr-7B-Beta,hotpot,18.358842840274427,1493,0.13969849217541463,0.2679169457468185,0.1150454639284132,0.10917615539182854
zephyr7b,Zephyr-7B-Beta,trivia,48.185055080171125,1347,0.19323743563029136,0.14847809948032664,0.11440200819324718,0.1091314031180401
zephyr7b,Zephyr-7B-Beta,nq,28.83433530284558,1500,0.17144808350553656,0.8666666666666667,0.14202874417468694,0.10666666666666667
